最近はまっていることなどはありますか？	朝ドラでしょうか。
朝ドラでしょうか。	どんなタイトルなんですか？
どんなタイトルなんですか？	スカーレット、です。
スカーレット、です。	みどころはどのあたりですか？
みどころはどのあたりですか？	笑えるところです。劇中の会話が漫才みたいな時があります。大阪制作らしいドラマです。
笑えるところです。劇中の会話が漫才みたいな時があります。大阪制作らしいドラマです。	笑えるのは良いですね、感動や悲劇などもあるのでしょうか？
笑えるのは良いですね、感動や悲劇などもあるのでしょうか？	時々あります。
時々あります。	70年くらい前の時代設定なんでしたっけ
70年くらい前の時代設定なんでしたっけ	現時点の放送では、昭和34年という設定です。
現時点の放送では、昭和34年という設定です。	激動の時代ですね。タイトルの由来が気になります
激動の時代ですね。タイトルの由来が気になります	緋色、赤という意味で、女性初の陶芸家ということで、陶器を焼く炎と女性ということをあらわしてたと思います。
緋色、赤という意味で、女性初の陶芸家ということで、陶器を焼く炎と女性ということをあらわしてたと思います。	とても楽しそうな話ですね、興味が湧いてきました
とても楽しそうな話ですね、興味が湧いてきました	近々、ヒロインが結婚するような気配があります。
近々、ヒロインが結婚するような気配があります。	それはひとつの佳境ですね、ヒロインは戸田エリカさんでしたっけ？
それはひとつの佳境ですね、ヒロインは戸田エリカさんでしたっけ？	そうです。でも戸田さんは恵梨香で、エリカは今問題になってる人ですね。
そうです。でも戸田さんは恵梨香で、エリカは今問題になってる人ですね。	そうでしたね！どちらも素敵な女優さんなのに残念です
そうでしたね！どちらも素敵な女優さんなのに残念です	確か、今日昼の情報番組でやってたと思うんですけど、大河ドラマ降板が決まったようです。
確か、今日昼の情報番組でやってたと思うんですけど、大河ドラマ降板が決まったようです。	そうなんですか、素晴らしい素質を持っているのにもったいないです。
こんばんは、よろしくお願いいたします	こんばんは、こちらこそよろしくお願いいたします！
こんばんは、こちらこそよろしくお願いいたします！	昨日、今日と暖かい気候でしたね。どこかへおでかけされましたか？
昨日、今日と暖かい気候でしたね。どこかへおでかけされましたか？	はい、昨日は友人たちと、市内で開催されているイベントに行き、アクセサリーなどを購入しました。
はい、昨日は友人たちと、市内で開催されているイベントに行き、アクセサリーなどを購入しました。	楽しそうなイベントですね、どんなお店が出ていましたか？
楽しそうなイベントですね、どんなお店が出ていましたか？	全国各地で手作りのアクセサリーや衣類、陶器などを売っている人たちが集まっていました。素敵なものばかりでした。
全国各地で手作りのアクセサリーや衣類、陶器などを売っている人たちが集まっていました。素敵なものばかりでした。	そんなイベントがあるんですね、私も行きたかったです
そんなイベントがあるんですね、私も行きたかったです	お近くでそういうイベントがあるといいですね！
お近くでそういうイベントがあるといいですね！	ぜひさがしてみようと思います！最近はインターネットショッピングばかりなので物に触れたいです。
